Requester,Requester,Requester,Requester,Requester,Requester,Requester,Requester,Requester,Data Chapter,Data Chapter / Delivery Squad,Requester / BTP Tech,Requester / BTP Tech,Requester / Upstream Tech,Requester / Upstream Tech,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,Do Not Use - To be Deleted,Requester + Upstream Tech,Requester,Requester,Requester,Requester,Requester,BTP Tech,BTP Tech,BTP Tech,BTP Tech,Requester,Requester,Requester,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,,,,,
"FS_063, FS_065",Consoldiated Financials,BPC,"""All in one Query"" Table for SFX
Actuals YTD Rates","May Yi (All in one)
Srini (Actuals YTD Rates)",Structured,SAPABAP1,/BI0/SAUSER,tba (Dileep),Not Prioritized,,No,N/A,Global,Small,,,N/A,"Ingestion into Staging layer: bring through all rows and columns

Between Staging and Pre-processing layer:
_ERP_CATEGORY ='ACT_GRP_F'  AND ZRTC_AMO != 0","Monthly (All In One Query): Data that falls into the prior month e.g. FinPeriod = prior month
Daily (Actuals YTD Rates): Data that falls into the prior business day e.g. FinDay = prior day",Monthly and Daily: Start of business SGT on day of feed,"Monthly (All In One Query): Monthly on the first business day of each month
Daily (Actuals YTD Rates): Every business day",Current year and prior year (pre-processing layer),Analysis including prior year,,,,,Internal,No,Yes,BPC data already used - approval not required,BPC data already used - approval not required,BPC data already used - approval not required,,"The policy is to onboard all fields from the underlying tables.  Only the following fields actually required though: 
""ZRACCOUNT"",
""0FISCPER"",
""_ERP_RTCCURR"",",,,
"FS_063, FS_065",Consoldiated Financials,BPC,"""All in one Query"" Table for SFX
Actuals YTD Rates","May Yi (All in one)
Srini (Actuals YTD Rates)",Structured,SAPABAP1,/BI0/SFISCPER,tba (Dileep),Not Prioritized,,No,N/A,Global,Small,,,N/A,"Ingestion into Staging layer: bring through all rows and columns

Between Staging and Pre-processing layer:
_ERP_CATEGORY ='ACT_GRP_F'  AND ZRTC_AMO != 0","Monthly (All In One Query): Data that falls into the prior month e.g. FinPeriod = prior month
Daily (Actuals YTD Rates): Data that falls into the prior business day e.g. FinDay = prior day",Monthly and Daily: Start of business SGT on day of feed,"Monthly (All In One Query): Monthly on the first business day of each month
Daily (Actuals YTD Rates): Every business day",Current year and prior year (pre-processing layer),Analysis including prior year,,,,,Internal,No,Yes,BPC data already used - approval not required,BPC data already used - approval not required,BPC data already used - approval not required,,"The policy is to onboard all fields from the underlying tables.  Only the following fields actually required though: 
""ZRACCOUNT"",
""0FISCPER"",
""_ERP_RTCCURR"",",,,
"FS_063, FS_065",Consoldiated Financials,BPC,"""All in one Query"" Table for SFX
Actuals YTD Rates","May Yi (All in one)
Srini (Actuals YTD Rates)",Structured,SAPABAP1,/BI0/SFISCVARNT,tba (Dileep),Not Prioritized,,No,N/A,Global,Small,,,N/A,"Ingestion into Staging layer: bring through all rows and columns

Between Staging and Pre-processing layer:
_ERP_CATEGORY ='ACT_GRP_F'  AND ZRTC_AMO != 0","Monthly (All In One Query): Data that falls into the prior month e.g. FinPeriod = prior month
Daily (Actuals YTD Rates): Data that falls into the prior business day e.g. FinDay = prior day",Monthly and Daily: Start of business SGT on day of feed,"Monthly (All In One Query): Monthly on the first business day of each month
Daily (Actuals YTD Rates): Every business day",Current year and prior year (pre-processing layer),Analysis including prior year,,,,,Internal,No,Yes,BPC data already used - approval not required,BPC data already used - approval not required,BPC data already used - approval not required,,"The policy is to onboard all fields from the underlying tables.  Only the following fields actually required though: 
""ZRACCOUNT"",
""0FISCPER"",
""_ERP_RTCCURR"",",,,
"FS_063, FS_065",Consoldiated Financials,BPC,"""All in one Query"" Table for SFX
Actuals YTD Rates","May Yi (All in one)
Srini (Actuals YTD Rates)",Structured,SAPABAP1,/BIC/SZRACCOUNT,tba (Dileep),Not Prioritized,,No,N/A,Global,Small,,,N/A,"Ingestion into Staging layer: bring through all rows and columns

Between Staging and Pre-processing layer:
_ERP_CATEGORY ='ACT_GRP_F'  AND ZRTC_AMO != 0","Monthly (All In One Query): Data that falls into the prior month e.g. FinPeriod = prior month
Daily (Actuals YTD Rates): Data that falls into the prior business day e.g. FinDay = prior day",Monthly and Daily: Start of business SGT on day of feed,"Monthly (All In One Query): Monthly on the first business day of each month
Daily (Actuals YTD Rates): Every business day",Current year and prior year (pre-processing layer),Analysis including prior year,,,,,Internal,No,Yes,BPC data already used - approval not required,BPC data already used - approval not required,BPC data already used - approval not required,,"The policy is to onboard all fields from the underlying tables.  Only the following fields actually required though: 
""ZRACCOUNT"",
""0FISCPER"",
""_ERP_RTCCURR"",",,,
"FS_063, FS_065",Consoldiated Financials,BPC,"""All in one Query"" Table for SFX
Actuals YTD Rates","May Yi (All in one)
Srini (Actuals YTD Rates)",Structured,SAPABAP1,/BIC/SZRENTITY,tba (Dileep),Not Prioritized,,No,N/A,Global,Small,,,N/A,"Ingestion into Staging layer: bring through all rows and columns

Between Staging and Pre-processing layer:
_ERP_CATEGORY ='ACT_GRP_F'  AND ZRTC_AMO != 0","Monthly (All In One Query): Data that falls into the prior month e.g. FinPeriod = prior month
Daily (Actuals YTD Rates): Data that falls into the prior business day e.g. FinDay = prior day",Monthly and Daily: Start of business SGT on day of feed,"Monthly (All In One Query): Monthly on the first business day of each month
Daily (Actuals YTD Rates): Every business day",Current year and prior year (pre-processing layer),Analysis including prior year,,,,,Internal,No,Yes,BPC data already used - approval not required,BPC data already used - approval not required,BPC data already used - approval not required,,"The policy is to onboard all fields from the underlying tables.  Only the following fields actually required though: 
""ZRACCOUNT"",
""0FISCPER"",
""_ERP_RTCCURR"",",,,
"FS_063, FS_065",Consoldiated Financials,BPC,"""All in one Query"" Table for SFX
Actuals YTD Rates","May Yi (All in one)
Srini (Actuals YTD Rates)",Structured,SAPABAP1,/B631/TRTCCURR,tba (Dileep),Not Prioritized,,No,N/A,Global,Small,,,N/A,"Ingestion into Staging layer: bring through all rows and columns

Between Staging and Pre-processing layer:
_ERP_CATEGORY ='ACT_GRP_F'  AND ZRTC_AMO != 0","Monthly (All In One Query): Data that falls into the prior month e.g. FinPeriod = prior month
Daily (Actuals YTD Rates): Data that falls into the prior business day e.g. FinDay = prior day",Monthly and Daily: Start of business SGT on day of feed,"Monthly (All In One Query): Monthly on the first business day of each month
Daily (Actuals YTD Rates): Every business day",Current year and prior year (pre-processing layer),Analysis including prior year,,,,,Internal,No,Yes,BPC data already used - approval not required,BPC data already used - approval not required,BPC data already used - approval not required,,"The policy is to onboard all fields from the underlying tables.  Only the following fields actually required though: 
""ZRACCOUNT"",
""0FISCPER"",
""_ERP_RTCCURR"",",,,
"FS_063, FS_065",Consoldiated Financials,BPC,"""All in one Query"" Table for SFX
Actuals YTD Rates","May Yi (All in one)
Srini (Actuals YTD Rates)",Structured,SAPABAP1,/BIC/TZRACCOUNT,tba (Dileep),Not Prioritized,,No,N/A,Global,Small,,,N/A,"Ingestion into Staging layer: bring through all rows and columns

Between Staging and Pre-processing layer:
_ERP_CATEGORY ='ACT_GRP_F'  AND ZRTC_AMO != 0","Monthly (All In One Query): Data that falls into the prior month e.g. FinPeriod = prior month
Daily (Actuals YTD Rates): Data that falls into the prior business day e.g. FinDay = prior day",Monthly and Daily: Start of business SGT on day of feed,"Monthly (All In One Query): Monthly on the first business day of each month
Daily (Actuals YTD Rates): Every business day",Current year and prior year (pre-processing layer),Analysis including prior year,,,,,Internal,No,Yes,BPC data already used - approval not required,BPC data already used - approval not required,BPC data already used - approval not required,,"The policy is to onboard all fields from the underlying tables.  Only the following fields actually required though: 
""ZRACCOUNT"",
""0FISCPER"",
""_ERP_RTCCURR"",",,,
"FS_063, FS_065",Consoldiated Financials,BPC,"""All in one Query"" Table for SFX
Actuals YTD Rates","May Yi (All in one)
Srini (Actuals YTD Rates)",Structured,SAPABAP1,/BIC/TZRENTITY,tba (Dileep),Not Prioritized,,No,N/A,Global,Small,,,N/A,"Ingestion into Staging layer: bring through all rows and columns

Between Staging and Pre-processing layer:
_ERP_CATEGORY ='ACT_GRP_F'  AND ZRTC_AMO != 0","Monthly (All In One Query): Data that falls into the prior month e.g. FinPeriod = prior month
Daily (Actuals YTD Rates): Data that falls into the prior business day e.g. FinDay = prior day",Monthly and Daily: Start of business SGT on day of feed,"Monthly (All In One Query): Monthly on the first business day of each month
Daily (Actuals YTD Rates): Every business day",Current year and prior year (pre-processing layer),Analysis including prior year,,,,,Internal,No,Yes,BPC data already used - approval not required,BPC data already used - approval not required,BPC data already used - approval not required,,"The policy is to onboard all fields from the underlying tables.  Only the following fields actually required though: 
""ZRACCOUNT"",
""0FISCPER"",
""_ERP_RTCCURR"",",,,
FS_107,Lending,RLS (via FDP),"Client Analytics:- To source the Secured, unsecured loan  details.Retail loan  Non Accounting",Selva,Structured,fdp_df_daas_preprod,rls_financial_contract_XX,Non-FM trade information with Dimension & measure,Prioritized,31-May-26,No,NA,Country,,Full Load,Remote Table,90 Days ,,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FS_107,Lending,RLS (via FDP),"Client Analytics::- To source the Secured, unsecured loan  details.Retail loan  Non Accounting",Selva,Structured,fdp_df_daas_preprod,rls_cm500a_mast_sri_XX,Non-FM trade information with Dimension & measure,Prioritized,31-May-26,No,NA,Country,,Full Load,Remote Table,90 Days ,,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_107,Lending,RLS (via FDP),"Client Analytics::- To source the Secured, unsecured loan  details.Retail loan  Non Accounting",Selva,Structured,fdp_df_daas_preprod,rls_bp_fc_assignment_xx,Non-FM trade information with Dimension & measure,Prioritized,31-May-26,No,NA,Country,,Full Load,Remote Table,90 Days ,,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_133,Lending,RLS (via FPSL),"Client Analytics::- To source the Secured, unsecured loan  details.Retail loan  Accounting & trade",Selva,Structured,,/BA1/HFSPD,Non-FM Accounting  information with Fact & Measure,Prioritized,30-Apr-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_128,FM,GPTM(FPSL),Client Analytics::- To source the FM trade level data for client analytics reporting requirement,Selva,Structured,,/BA1/HFSPD,FM trade information with Dimension & measure,Prioritized,28-Feb-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_129,FM,GPTM(FDP),Client Analytics::- To source the FM trade level data for client analytics reporting requirement,Selva,Structured,,fdp_fsdp_sri_open_uat.fsdp_financial_contract,FM fiancial contract information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_129,FM,GPTM(FDP),Client Analytics::- To source the FM trade level data for client analytics reporting requirement,Selva,Structured,,fdp_fsdp_sri_open_uat.fsdp_financial_instrument,FM fiancial instrument information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_130,Lending ,LOANIQ(via FPSL),Client Analytics::- To source the Lending Trade level data for client analytics reporting.,Selva,Structured,,/BA1/HFSPD,FM trade information with Dimension & measure,Prioritized,28-Feb-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_131,Lending ,FSDP (LoanIQ),Lending Non Accounting ,Selva,Structured,,fdp_df_daas_preprod.lniq_bp_fc_assignment_xx ,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_131,Lending ,FSDP (LoanIQ),Lending Non Accounting ,Selva,Structured,,fdp_df_daas_preprod.lniq_bp_xx ,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_131,Lending ,FSDP (LoanIQ),Lending Non Accounting ,Selva,Structured,,fdp_df_daas_preprod.lniq_dll_con_flat ,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_131,Lending ,FSDP (LoanIQ),Lending Non Accounting ,Selva,Structured,,fdp_df_daas_preprod.lniq_ds_fc_extract_facilities_xx _xx ,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_131,Lending ,FSDP (LoanIQ),Lending Non Accounting ,Selva,Structured,,fdp_df_daas_preprod.lniq_ds_fc_extract_loans_xx ,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_131,Lending ,FSDP (LoanIQ),Lending Non Accounting ,Selva,Structured,,fdp_df_daas_preprod.lniq_ds_fc_extract_fees_xx,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_131,Lending ,FSDP (LoanIQ),Lending Non Accounting ,Selva,Structured,,fdp_df_daas_preprod.lniq_financial_contract_xx ,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_131,Lending ,FSDP (LoanIQ),Lending Non Accounting ,Selva,Structured,,fdp_df_daas_preprod.lniq_interest_xx ,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_101,Core Banking Channels,LOS (via FPSL),Trade Level,Selva,Structured,,/BA1/HFSPD,Non-FM Accounting  information with Fact & Measure,Prioritized,30-Apr-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_126,Core Banking Channels,LOS (via FDP),Lending Non Accounting ,Selva,Structured,,fdp_df_daas_preprod.los_bp_fc_assignment_xx ,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Apr-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_126,Core Banking Channels,LOS (via FDP),Lending Non Accounting ,Selva,Structured,,fdp_df_daas_preprod.los_bp_xx ,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Apr-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_126,Core Banking Channels,LOS (via FDP),Lending Non Accounting ,Selva,Structured,,fdp_df_daas_preprod.los_dll_con_flat_XX ,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Apr-26,No,NA,Country,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_126,Core Banking Channels,LOS (via FDP),Lending Non Accounting ,Selva,Structured,,fdp_df_daas_preprod.los_financial_contract_XX ,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Apr-26,No,NA,Country,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_126,Core Banking Channels,LOS (via FDP),Lending Non Accounting ,Selva,Structured,,fdp_df_daas_preprod.los_interest_XX ,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Apr-26,No,NA,Country,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 5:30 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_135,FM,FPSL (FM),Client Analytics::- To source the FM trade level data for client analytics reporting requirement,Selva,Structured,,/BA1/HFSPD,FM trade information with Dimension & measure,Prioritized,28-Feb-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_136,FM,FSDP (Razor),FM Non Accounting ,Selva,Structured,,STG_FSDP.STG_BusinessPartnerTradeAssignment,FM trade information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_136,FM,FSDP (Razor),FM Non Accounting ,Selva,Structured,,STG_FSDP.STG_Trade,FM trade information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_136,FM,FSDP (Razor),FM Non Accounting ,Selva,Structured,,STG_FSDP.STG_C_GenericTradeExtensions,FM trade information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_134,Core banking,TDMS (via FPSL),Core Banking Deposits Accounting,Selva,Structured,,/BA1/HFSPD,Non-FM Accounting  information with Fact & Measure,Prioritized,30-Apr-26,No,NA,Country,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_108,Core banking,TDMS (via FDP),Core Banking Deposits Non Accounting,Selva,Structured,,fdp_df_daas_preprod.tdm_bp_fc_assignment_xx,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Jun-26,No,NA,Country,,Full Load,Remote Table,90 Days ,TBD,T+2,T+2 8:00 AM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_108,Core banking,TDMS (via FDP),Core Banking Deposits Non Accounting,Selva,Structured,,fdp_df_daas_preprod.tdm_dll_con_flat_tw ,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Jun-26,No,NA,Country,,Full Load,Remote Table,90 Days ,TBD,T+2,T+2 8:00 AM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_108,Core banking,TDMS (via FDP),Core Banking Deposits Non Accounting,Selva,Structured,,fdp_df_daas_preprod.tdm_dll_isd_tw ,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Jun-26,No,NA,Country,,Full Load,Remote Table,90 Days ,TBD,T+2,T+2 8:00 AM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_108,Core banking,TDMS (via FDP),Core Banking Deposits Non Accounting,Selva,Structured,,fdp_df_daas_preprod.tdm_financial_contract_tw,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Jun-26,No,NA,Country,,Full Load,Remote Table,90 Days ,TBD,T+2,T+2 8:00 AM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_132,Trade Finance,TXP (via FPSL),Trade Finance Accounting& Trade level ,Selva,Structured,,/BA1/HFSPD,Non-FM Accounting  information with Fact & Measure,Prioritized,30-Apr-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_110,Trade Finance,TXP (via FSDP),Trade Finance Non Accounting,Selva,Structured,,fdp_fsdp_sri_open_uat.fsdp_financial_contract,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Jun-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+2,T+2 8:00 AM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_110,Trade Finance,TXP (via FSDP),Trade Finance Non Accounting,Selva,Structured,,STG_FSDP.STG_FinancialContract,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Jun-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_110,Trade Finance,TXP (via FSDP),Trade Finance Non Accounting,Selva,Structured,,STG_FSDP.STG_BusinessPartnerContractAssignment,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Jun-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_141,FM,FMRP(via FPSL),FM Account & Trade level data ,Selva,Structured,,/BA1/HFSPD,FM Accounting  information with Fact & Measure,Prioritized,30-Apr-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_142,FM,FMRP(via FSDP),FM Non Accounting ,Selva,Structured,,fdp_fsdp_sri_open_uat.fsdp_financial_contract_fmrp,FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Jun-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+2,T+2 8:00 AM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_142,FM,FMRP(via FSDP),FM Non Accounting ,Selva,Structured,,STG_FSDP.STG_FinancialContract,FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Jun-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_142,FM,FMRP(via FSDP),FM Non Accounting ,Selva,Structured,,STG_FSDP.STG_BusinessPartnerContractAssignment,FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Jun-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_139,Cards,M2P CC(via FPSL),Non FM Account & Trade level data ,Selva,Structured,,/BA1/HFSPD,Non-FM Accounting  information with Fact & Measure,Prioritized,30-Apr-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_140,Cards,M2P CC(via FSDP),Non Accounting ,Selva,Structured,,fdp_fsdp_sri_open_uat.fsdp_financial_contract,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Jun-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+2,T+2 8:00 AM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_140,Cards,M2P CC(via FSDP),Non Accounting ,Selva,Structured,,STG_FSDP.STG_FinancialContract,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Jun-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_140,Cards,M2P CC(via FSDP),Non Accounting ,Selva,Structured,,STG_FSDP.STG_BusinessPartnerContractAssignment,Non FM fiancial  Contract & instrument information with Dimension & measure,Prioritized,30-Jun-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_137,FM,FPSL (FM),Client Analytics::- To source the FM trade level data for client analytics reporting requirement,Selva,Structured,,/BA1/HFSPD,FM trade information with Dimension & measure,Prioritized,28-Feb-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_138,FM,FSDP (Murex),FM Non Accounting ,Selva,Structured,,STG_FSDP.STG_BusinessPartnerTradeAssignment,FM trade information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_138,FM,FSDP (Razor),FM Non Accounting ,Selva,Structured,,STG_FSDP.STG_Trade,FM trade information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_138,FM,FSDP (Razor),FM Non Accounting ,Selva,Structured,,STG_FSDP.STG_C_GenericTradeExtensions,FM trade information with Dimension & measure,Prioritized,31-May-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_127,Trade finance ,OTP(FPSL),Trade financd trade level data ,Selva,Structured,,/BA1/HFSPD,Non-FM Accounting  information with Fact & Measure,Prioritized,30-Apr-26,No,NA,Global,,Full Load,Remote Table,90 Days ,TBD,T+1,T+1 1:00 PM IST,Daily,90 Days,,,,,,,,,,,,,,,,
FS_111,Trade Finance,OTP (via FDP),Trade Finance Non Accounting,Selva,Structured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
